Statistical-geography-council-area-sct,Local-authority-sct,Start-date,End-date
S12000001,ABE,01/04/1996,31/05/2002
S12000002,ABD,01/04/1996,31/05/2002
S12000004,AGB,01/04/1996,31/05/2002
S12000012,EDH,01/04/1996,31/05/2002
S12000016,GLG,01/04/1996,31/05/2002
S12000031,WDU,01/04/1996,31/05/2002
S12000032,WLN,01/04/1996,31/05/2002
S12000025,RFW,01/04/1996,01/06/2002
S12000003,ANS,01/04/1996,31/03/2010
S12000007,DND,01/04/1996,31/03/2010
S12000022,NLK,01/04/1996,31/03/2010
S12000037,GLG,01/06/2002,31/03/2010
S12000009,EDU,01/04/1996,31/03/2011
S12000043,GLG,01/04/2010,31/03/2011
S12000005,CLK,01/04/1996,
S12000006,FDGY,01/04/1996,
S12000008,EAY,01/04/1996,
S12000010,ELN,01/04/1996,
S12000011,ERW,01/04/1996,
S12000013,ELS,01/04/1996,
S12000014,FAL,01/04/1996,
S12000015,FIF,01/04/1996,
S12000017,HLD,01/04/1996,
S12000018,IVC,01/04/1996,
S12000019,MLN,01/04/1996,
S12000020,MRY,01/04/1996,
S12000021,NAY,01/04/1996,
S12000023,ORK,01/04/1996,
S12000024,PKN,01/04/1996,
S12000026,SCB,01/04/1996,
S12000027,ZET,01/04/1996,
S12000028,SAY,01/04/1996,
S12000029,SLK,01/04/1996,
S12000030,STG,01/04/1996,
S12000033,ABE,01/06/2002,
S12000034,ABD,01/06/2002,
S12000035,AGB,01/06/2002,
S12000036,EDH,01/06/2002,
S12000038,RFW,01/06/2002,
S12000039,WDU,01/06/2002,
S12000040,WLN,01/06/2002,
S12000041,ANS,01/04/2010,
S12000042,DND,01/04/2010,
S12000044,NLK,01/04/2010,
S12000045,EDU,01/04/2011,
S12000046,GLG,01/04/2011,
