statistical-geography-fire-and-rescue-authority-eng	fire-authority-eng	name	start-date	end-date
E31000001	001		2009-01-01	
E31000002		Bedfordshire and Luton	2009-01-01	2016-07-31
E31000002	002		2016-08-01	
E31000003	035		2009-01-01	
E31000004	003		2016-08-01	
E31000004		Buckinghamshire and Milton Keynes	2009-01-01	2016-07-31
E31000005	004		2016-08-01	
E31000005		Cambridgeshire and Peterborough	2009-01-01	2016-07-31
E31000006	005		2009-01-01	
E31000007	006		2009-01-01	
E31000008	007		2009-01-01	
E31000009	009		2009-01-01	
E31000010	010		2009-01-01	
E31000011		Devon and Somerset	2009-01-01	2016-07-31
E31000011	011		2016-08-01	
E31000012		Dorset	2009-01-01	2016-03-31
E31000013	008		2009-01-01	
E31000014	113		2009-01-01	
E31000015	014		2009-01-01	
E31000016	015		2009-01-01	
E31000017	017		2009-01-01	
E31000018		Hereford and Worcester	2009-01-01	2016-07-31
E31000018	018		2016-08-01	
E31000019	019		2009-01-01	
E31000020	020		2009-01-01	
E31000021	021		2009-01-01	
E31000022		Kent and Medway Towns	2009-01-01	2016-07-31
E31000022	023		2016-08-01	
E31000023	024		2009-01-01	
E31000024	025		2016-08-01	
E31000024		Leicester, Leicestershire and Rutland	2009-01-01	2016-07-31
E31000025	026		2009-01-01	
E31000026	029		2009-01-01	
E31000027	030		2009-01-01	
E31000028	031		2009-01-01	
E31000029	032		2009-01-01	
E31000030	031		2009-01-01	
E31000031	034		2009-01-01	
E31000032	036		2016-08-01	
E31000032		Shropshire and Wrekin	2009-01-01	2016-07-31
E31000033	038		2009-01-01	
E31000034	039		2009-01-01	
E31000035	949		2009-01-01	
E31000036	942		2009-01-01	
E31000037	044		2009-01-01	
E31000038		Wiltshire and Swindon	2009-01-01	2016-03-31
E31000039	022		2009-01-01	
E31000040	016		2009-01-01	
E31000041	028		2009-01-01	
E31000042	037		2009-01-01	
E31000043	041		2009-01-01	
E31000044	043		2009-01-01	
E31000045	045		2009-01-01	
E31000046	027		2009-01-01	
E31000047	012		2016-04-01	
