statistical-geography-registration-district-eng	registration-district	name	start-date	end-date
E28000203	799		2009-01-01	
E28000202	796		2009-01-01	
E28000211	785		2010-04-01	
E28000209	776		2008-12-17	
E28000193	759		2009-01-01	
E28000213	748		2010-11-02	
E28000186	738		2009-01-01	
E28000185	737		2009-01-01	
E28000184	722		2009-01-01	
E28000183	717		2009-01-01	
E28000182	716		2009-01-01	
E28000181	695		2009-01-01	
E28000217	692		2012-03-30	
E28000180	690		2009-01-01	2012-03-29
E28000179	689		2009-01-01	
E28000178	688		2009-01-01	2012-03-29
E28000177	687		2009-01-01	2012-03-29
E28000176	686		2009-01-01	2012-03-29
E28000175	685		2009-01-01	2012-03-29
E28000174	681		2009-01-01	
E28000212	674		2010-10-01	
E28000166	661		2009-01-01	
E28000165	650		2009-01-01	
E28000214	642		2011-04-01	
E28000155	609		2009-01-01	
E28000154	605		2009-01-01	
E28000153	604		2009-01-01	
E28000152	600		2009-01-01	
E28000151	591		2009-01-01	
E28000150	581		2009-01-01	
E28000149	580		2009-01-01	
E28000148	564		2009-01-01	
E28000147	561		2009-01-01	
E28000146	556		2009-01-01	
E28000145	554		2009-01-01	
E28000144	550		2009-01-01	
E28000142	541		2009-01-01	
E28000141	538		2009-01-01	
E28000140	527		2009-01-01	
E28000139	511		2009-01-01	
E28000138	504		2009-01-01	
E28000137	500		2009-01-01	
E28000136	497		2009-01-01	
E28000135	488		2009-01-01	
E28000133	477		2009-01-01	
E28000132	475		2009-01-01	
E28000210	463		2010-02-01	
E28000124	462		2009-01-01	
E28000123	452		2009-01-01	
E28000122	442		2009-01-01	
E28000121	436		2009-01-01	
E28000120	431		2009-01-01	
E28000119	429		2009-01-01	
E28000118	427		2009-01-01	
E28000117	423		2009-01-01	
E28000116	422		2009-01-01	
E28000115	416		2009-01-01	
E28000219	398		2013-01-17	
E28000111	394		2009-01-01	
E28000216	387		2011-12-01	
E28000097	371		2009-01-01	
E28000096	360		2009-01-01	
E28000095	351		2009-01-01	
E28000094	350		2009-01-01	
E28000093	349		2009-01-01	
E28000092	348		2009-01-01	
E28000090	346		2009-01-01	
E28000207	345		2009-04-01	
E28000089	343		2009-01-01	
E28000206	342		2009-04-01	
E28000088	339		2009-01-01	
E28000087	335		2009-01-01	
E28000086	328		2009-01-01	
E28000085	326		2009-01-01	
E28000084	323		2009-01-01	
E28000083	322		2009-01-01	
E28000082	321		2009-01-01	
E28000081	320		2009-01-01	
E28000080	319		2009-01-01	
E28000079	318		2009-01-01	
E28000205	317		2009-04-01	
E28000204	316		2009-04-01	
E28000078	315		2009-01-01	
E28000076	307		2009-01-01	
E28000075	304		2009-01-01	
E28000074	301		2009-01-01	
E28000073	300		2009-01-01	
E28000072	260		2009-01-01	
E28000071	258		2009-01-01	
E28000070	257		2009-01-01	
E28000069	256		2009-01-01	
E28000068	255		2009-01-01	
E28000067	254		2009-01-01	
E28000066	251		2009-01-01	
E28000065	250		2009-01-01	
E28000064	248		2009-01-01	
E28000063	247		2009-01-01	
E28000062	246		2009-01-01	
E28000061	244		2009-01-01	
E28000060	243		2009-01-01	
E28000059	242		2009-01-01	
E28000058	241		2009-01-01	
E28000057	240		2009-01-01	
E28000056	239		2009-01-01	
E28000055	238		2009-01-01	
E28000054	237		2009-01-01	
E28000053	236		2009-01-01	
E28000052	234		2009-01-01	
E28000051	233		2009-01-01	
E28000050	232		2009-01-01	
E28000049	230		2009-01-01	
E28000048	229		2009-01-01	
E28000047	227		2009-01-01	
E28000046	226		2009-01-01	
E28000045	225		2009-01-01	
E28000044	222		2009-01-01	
E28000043	221		2009-01-01	
E28000042	220		2009-01-01	
E28000041	219		2009-01-01	
E28000040	218		2009-01-01	
E28000039	97		2008-11-29	2008-11-30
E28000208	97		2008-12-01	
E28000037	92		2009-01-01	
E28000218	90		2012-10-11	
E28000034	86		2009-01-01	
E28000033	83		2009-01-01	
E28000032	77		2009-01-01	
E28000031	75		2009-01-01	
E28000030	73		2009-01-01	
E28000029	70		2009-01-01	
E28000028	65		2009-01-01	
E28000027	63		2009-01-01	
E28000026	61		2009-01-01	
E28000025	58		2009-01-01	
E28000024	57		2009-01-01	
E28000023	54		2009-01-01	
E28000022	53		2009-01-01	
E28000021	51		2009-01-01	
E28000020	48		2009-01-01	
E28000019	45		2009-01-01	
E28000018	42		2009-01-01	
E28000017	41		2009-01-01	
E28000016	37		2009-01-01	
E28000215	35		2011-07-01	
E28000012	25		2009-01-01	
E28000011	23		2009-01-01	
E28000010	18		2009-01-01	
E28000009	15		2009-01-01	
E28000008	14		2009-01-01	
E28000007	13		2009-01-01	
E28000006	11		2009-01-01	
E28000005	9		2009-01-01	
E28000004	7		2009-01-01	
E28000003	6		2009-01-01	
E28000002	3		2009-01-01	
E28000001	2		2009-01-01	
E28000013		St. Helens	2009-01-01	
E28000014		Sefton South	2009-01-01	2011-06-30
E28000015		Sefton North	2009-01-01	2011-06-30
E28000035		Dewsbury	2009-01-01	2012-10-10
E28000036		Huddersfield	2009-01-01	2012-10-10
E28000038		Pontefract	2008-11-29	2008-11-30
E28000077		Bedfordshire	2009-01-01	2009-03-31
E28000091		Cheshire	2009-01-01	2009-03-31
E28000098		Barrow-in-Furness	2009-01-01	2011-11-30
E28000099		Carlisle	2009-01-01	2011-11-30
E28000100		Cockermouth	2009-01-01	2011-11-30
E28000101		Kendal	2009-01-01	2011-11-30
E28000102		Millom	2009-01-01	2011-11-30
E28000103		Penrith	2009-01-01	2011-11-30
E28000104		Ulverston	2009-01-01	2011-11-30
E28000105		Whitehaven	2009-01-01	2011-11-30
E28000106		Wigton	2009-01-01	2011-11-30
E28000107		Ashbourne	2009-01-01	2013-01-16
E28000108		Bakewell	2009-01-01	2013-01-16
E28000109		Amber Valley	2009-01-01	2013-01-16
E28000110		Chesterfield	2009-01-01	2013-01-16
E28000112		High Peak	2009-01-01	2013-01-16
E28000113		Erewash	2009-01-01	2013-01-16
E28000114		South Derbyshire	2009-01-01	2013-01-16
E28000125		Braintree	2009-01-01	2010-01-31
E28000126		Brentwood	2009-01-01	2010-01-31
E28000127		Castle Point and Rochford	2009-01-01	2010-01-31
E28000128		Chelmsford	2009-01-01	2010-01-31
E28000129		Colchester	2009-01-01	2010-01-31
E28000130		Epping Forest	2009-01-01	2010-01-31
E28000131		Harlow	2009-01-01	2010-01-31
E28000134		Uttlesford	2009-01-01	2010-01-31
E28000143	548		2009-01-01	
E28000156		Depwade	2009-01-01	2011-03-31
E28000157		Downham	2009-01-01	2011-03-31
E28000158		East Dereham	2009-01-01	2011-03-31
E28000159		Fakenham	2009-01-01	2011-03-31
E28000160		Great Yarmouth	2009-01-01	2011-03-31
E28000161		King's Lynn	2009-01-01	2011-03-31
E28000162		North Walsham	2009-01-01	2011-03-31
E28000163		Norwich	2009-01-01	2011-03-31
E28000164		Wayland	2009-01-01	2011-03-31
E28000167		Corby	2009-01-01	2010-09-30
E28000168		Daventry	2009-01-01	2010-09-30
E28000169		Kettering	2009-01-01	2010-09-30
E28000170		Northampton	2009-01-01	2010-09-30
E28000171		Oundle and Thrapston	2009-01-01	2010-09-30
E28000172		Towcester and Brackley	2009-01-01	2010-09-30
E28000173		Wellingborough	2009-01-01	2010-09-30
E28000187		Bury St. Edmunds	2009-01-01	2010-11-01
E28000188		Deben	2009-01-01	2010-11-01
E28000189		Gipping and Hartismere	2009-01-01	2010-11-01
E28000190		Ipswich	2009-01-01	2010-11-01
E28000191		Sudbury	2009-01-01	2010-11-01
E28000192		Waveney	2009-01-01	2010-11-01
E28000194		Warwickshire North	2008-12-15	2008-12-16
E28000195		Warwickshire East	2008-12-15	2008-12-16
E28000196		Warwickshire South	2008-12-15	2008-12-16
E28000197		Chichester	2009-01-01	2010-03-31
E28000198		Crawley	2009-01-01	2010-03-31
E28000199		Haywards Heath	2009-01-01	2010-03-31
E28000200		Horsham	2009-01-01	2010-03-31
E28000201		Worthing	2009-01-01	2010-03-31
