statistical-geography-unitary-authority-wls	principal-local-authority	start-date	end-date
W06000001	Isle of Anglesey	2009-01-01	
W06000002	Gwynedd	2009-01-01	
W06000003	Conwy	2009-01-01	
W06000004	Denbighshire	2009-01-01	
W06000005	Flintshire	2009-01-01	
W06000006	Wrexham	2009-01-01	
W06000007	Powys	2009-01-01	2009-05-31
W06000008	Ceredigion	2009-01-01	
W06000009	Pembrokeshire	2009-01-01	
W06000010	Carmarthenshire	2009-01-01	
W06000011	Swansea	2009-01-01	
W06000012	Neath Port Talbot	2009-01-01	
W06000013	Bridgend	2009-01-01	
W06000014	Vale of Glamorgan	2013-01-01	
W06000014	The Vale of Glamorgan	2009-01-01	2012-12-31
W06000015	Cardiff	2009-01-01	
W06000016	Rhondda Cynon Taf	2010-01-01	
W06000016	Rhondda, Cynon, Taff	2009-01-01	2009-12-31
W06000017	Merthyr Tydfil	2009-01-01	2009-05-31
W06000018	Caerphilly	2009-01-01	
W06000019	Blaenau Gwent	2009-01-01	
W06000020	Torfaen	2009-01-01	
W06000021	Monmouthshire	2009-01-01	
W06000022	Newport	2009-01-01	
W06000023	Powys	2009-06-01	
W06000024	Merthyr Tydfil	2009-06-01	
