statistical-geography-registration-district-wls	registration-district	name	name-cy	start-date	end-date
W20000037	897			2009-01-01	
W20000036	896			2009-01-01	
W20000035	891			2013-01-01	
W20000034	890			2009-01-01	
W20000038	882			2009-04-01	
W20000025	864			2009-01-01	
W20000024	863			2009-01-01	
W20000023	861			2009-01-01	
W20000022	860			2009-01-01	
W20000021	857			2009-01-01	
W20000039	855			2009-07-06	
W20000018	846			2009-01-01	
W20000013	839			2009-01-01	
W20000012	837			2009-01-01	
W20000011	836			2009-01-01	
W20000010	833			2009-01-01	
W20000040	823			2013-03-07	
W20000009	822			2009-01-01	
W20000008	819			2009-01-01	
W20000004	813			2009-01-01	
W20000003	811			2009-01-01	
W20000002	805			2009-01-01	
W20000001	804			2009-01-01	
W20000005		Cardiganshire Central	Sir Aberteifi Ganol	2009-01-01	2013-03-06
W20000006		Cardiganshire North	Gogledd Sir Aberteifi	2009-01-01	2013-03-06
W20000007		Cardiganshire South	De Sir Aberteifi	2009-01-01	2013-03-06
W20000014		Ardudwy	Ardudwy	2009-01-01	2009-07-05
W20000015		Bangor	Bangor	2009-01-01	2009-07-05
W20000016		Caernarfon	Caernarfon	2009-01-01	2009-07-05
W20000017		De Meirionnydd	De Meirionnydd	2009-01-01	2009-07-05
W20000019		Penllyn	Penllyn	2009-01-01	2009-07-05
W20000020		Dwyfor	Dwyfor	2009-01-01	2009-07-05
W20000026		Brecknock	Brycheiniog	2009-01-01	2009-03-31
W20000027		Mid Powys	Powys Ganol	2009-01-01	2009-03-31
W20000028		Hay	Y Gelli	2009-01-01	2009-03-31
W20000029		Machynlleth	Machynlleth	2009-01-01	2009-03-31
W20000030		Newtown	Drenewydd	2009-01-01	2009-03-31
W20000031		Radnorshire East	Dwyrain Sir Maesyfed	2009-01-01	2009-03-31
W20000032		Welshpool and Llanfyllin	Trallwng a Llanfylin	2009-01-01	2009-03-31
W20000033		Ystradgynlais	Ystradgynlais	2009-01-01	2009-03-31
W20000035		The Vale of Glamorgan	Bro Morgannwg	2009-01-01	2012-12-31
