GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E26000001,Dartmoor National Park,,1111/1001,GSS re-coding strategy,01/01/2009,,,E26,Natural England,live,95585.26,95585.26,0,95585.26
E26000002,Exmoor National Park,,1111/1001,GSS re-coding strategy,01/01/2009,,,E26,Natural England,live,68868.06,68863.22,148.97,68714.25
E26000003,Lake District National Park,,1111/1001,GSS re-coding strategy,01/01/2009,31/07/2016,,E26,Natural England,terminated,229113.91,227386.82,5418.29,221968.53
E26000004,Northumberland National Park,,1111/1001,GSS re-coding strategy,01/01/2009,,,E26,Natural England,live,105070.48,105070.48,31.87,105038.61
E26000005,North York Moors National Park,,1111/1001,GSS re-coding strategy,01/01/2009,,,E26,Natural England,live,144103.55,143608.34,0,143608.34
E26000006,Peak District National Park,,1111/1001,GSS re-coding strategy,01/01/2009,,,E26,Natural England,live,143756.37,143756.37,111.08,143645.29
E26000007,The Broads Authority,,1111/1001,GSS re-coding strategy,01/01/2009,,,E26,Natural England,live,30188.46,29089.42,158.64,28930.78
E26000008,Yorkshire Dales National Park,,1111/1001,GSS re-coding strategy,01/01/2009,31/07/2016,,E26,Natural England,terminated,176794.62,176794.62,141.92,176652.7
E26000009,New Forest National Park,,1111/1001,GSS re-coding strategy,01/01/2009,,,E26,Natural England,live,57095.73,55841.67,0,55841.67
E26000010,South Downs National Park,,497/2010,The South Downs National Park Authority (Establishment) Order 2010,01/04/2010,,,E26,Natural England,live,165269.36,164881.18,0,164881.18
E26000011,Lake District National Park,,,Lake District National Park (Designation) (Variation) Confirmation Order 2015,01/08/2016,,,E26,Natural England,live,,,,
E26000012,Yorkshire Dales National Park,,,Yorkshire Dales National Park (Designation) (Variation) Confirmation Order 2015,01/08/2016,,,E26,Natural England,live,,,,
