GEOGCD,GEOGNM,GEOGNMW,SI_ID,SI_TITLE,OPER_DATE,TERM_DATE,PARENTCD,ENTITYCD,OWNER,STATUS,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E07000001,Mid Bedfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E10000001,E07,DCLG,terminated,,,,
E07000002,Bedford,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E10000001,E07,DCLG,terminated,,,,
E07000003,South Bedfordshire,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E10000001,E07,DCLG,terminated,,,,
E07000004,Aylesbury Vale,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000002,E07,DCLG,live,90275.33,90275.33,0,90275.33
E07000005,Chiltern,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000002,E07,DCLG,live,19634.83,19634.83,0,19634.83
E07000006,South Bucks,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000002,E07,DCLG,live,14127.55,14127.55,0,14127.55
E07000007,Wycombe,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000002,E07,DCLG,live,32457.2,32457.2,0,32457.2
E07000008,Cambridge,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000003,E07,DCLG,live,4069.87,4069.87,0,4069.87
E07000009,East Cambridgeshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000003,E07,DCLG,live,65172.03,65127.91,0,65127.91
E07000010,Fenland,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000003,E07,DCLG,live,54735.53,54645.01,0,54645.01
E07000011,Huntingdonshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000003,E07,DCLG,live,91254.57,91245.83,627.95,90617.88
E07000012,South Cambridgeshire,,1111/1001,GSS re-coding strategy,01/01/2009,,E10000003,E07,DCLG,live,90168.72,90162.73,0,90162.73
E07000013,Chester,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E10000004,E07,DCLG,terminated,,,,
E07000014,Congleton,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E10000004,E07,DCLG,terminated,,,,
E07000015,Crewe and Nantwich,,1111/1001,GSS re-coding strategy,01/01/2009,31/03/2009,E10000004,E07,DCLG,terminated,,,,
