GEOGCD,GEOGNM,OPER_DATE,TERM_DATE
E10000001,Bedfordshire,01/01/2009,31/03/2009
E10000002,Buckinghamshire,01/01/2009,
E10000003,Cambridgeshire,01/01/2009,
E10000004,Cheshire,01/01/2009,31/03/2009
E10000005,Cornwall and Isles of Scilly,01/01/2009,31/03/2009
E10000006,Cumbria,01/01/2009,
E10000007,Derbyshire,01/01/2009,
E10000008,Devon,01/01/2009,
E10000009,Dorset,01/01/2009,
E10000010,Durham,01/01/2009,31/03/2009
E10000011,East Sussex,01/01/2009,
E10000012,Essex,01/01/2009,
E10000013,Gloucestershire,01/01/2009,
E10000014,Hampshire,01/01/2009,
E10000015,Hertfordshire,01/01/2009,
E10000016,Kent,01/01/2009,
E10000017,Lancashire,01/01/2009,
E10000018,Leicestershire,01/01/2009,
E10000019,Lincolnshire,01/01/2009,
E10000020,Norfolk,01/01/2009,
E10000021,Northamptonshire,01/01/2009,
E10000022,Northumberland,01/01/2009,31/03/2009
E10000023,North Yorkshire,01/01/2009,
E10000024,Nottinghamshire,01/01/2009,
E10000025,Oxfordshire,01/01/2009,
E10000026,Shropshire,01/01/2009,31/03/2009
E10000027,Somerset,01/01/2009,
E10000028,Staffordshire,01/01/2009,
E10000029,Suffolk,01/01/2009,
E10000030,Surrey,01/01/2009,
E10000031,Warwickshire,01/01/2009,
E10000032,West Sussex,01/01/2009,
E10000033,Wiltshire,01/01/2009,31/03/2009
E10000034,Worcestershire,01/01/2009,
